Style,Style DescriptioItnem,Item DescriptioCnolor Color Descr Grid,Size,,,Variant,Made In,Department Gender,,Product FamilyProduct SubgroQutpy,,RRP,,Unit Price,Total Sell,WH Mov. Ref.,Carton No,EAN code,SKU Tariff code,,Unit Weight KG,Total Unit Weight,Material1 Material1 composition,Finish1 Material2,Material2 composition,,Finish2,Material3,,Material3 composition,Finish3,Lining Type,Lining Composition
597902,L5BA424F-214501740,SILK PRINTED F161 01551 MULTI C1A5ILLOU,42,,,,IT,Ready to WearLADIES,,RTW CLOTHINGSHIRT 1,,€5 95.00,,€1 07.10,€1 07.10,WFCH01/2023/03/1846-33,CH-2022-000124284,7612501559456,623333900462061090,,0.232,0.232,SILK M1:Silk,PRINTED,M2:Silk,,,,,,,,
597902,L5BA424F-214501740,SILK PRINTED F161 01551 MULTI C1A5ILLOU,44,,,,IT,Ready to WearLADIES,,RTW CLOTHINGSHIRT 1,,€5 95.00,,€1 07.10,€1 07.10,WFCH01/2023/03/1846-33,CH-2022-000124284,7612501559463,623333900362061090,,0.232,0.232,SILK M1:Silk,PRINTED,M2:Silk,,,,,,,,
591677,ASTOR 30 M 22571,BOVINE SPLIT PFL0A3I7N INK 15 19,110,,,,IT,Accessories MENS,,ACC BELTS ADJUSTABLE/REVERSIBL6,,€230.00,,€4 1.40,€2 48.40,WFCH01/2023/03/1846-34,CH-2022-000124288,7612501488183,623225200142033000,,0.178,1.068,BOVINE SPLIMT 1:YB92PU08,PLAIN BOVINE SPLIMT 2:YB92PU08,,,,,,,,,
598572,GARKIN 35 M.T2S3P541,BOVINE EMBOSFS2E1D0 BLACK 19,110,,,,IT,Accessories MENS,,ACC BELTS ADJUSTABLE 1,,€225.00,,€4 0.50,€40.50,WFCH01/2023/03/1846-35,CH-2022-000100454,7612501497116,623223300142033000,,0.178,0.178,BOVINE M1:100%Bovine,EMBOSSED,,,,,,,,,LN:100%BullSplit
599493,DRUSIL 24533,CALF PLAIN F002 01561 MID BRO3W4 N 50,6,,,F,IT,Shoes MENS,,SHOES DRIVER 1,,€4 80.00,,€8 6.40,€86.40,WFCH01/2023/03/1846-36,CH-2022-000100466,7612501606068,623443703264039992,,0.691,0.691,CALF TO:Calf,PLAIN,,,,,,,,,L1:77Bovine14Nylon09Polyurethane
599493,DRUSIL 24533,CALF PLAIN F002 01561 MID BRO3W4 N 50,7,,,F,IT,Shoes MENS,,SHOES DRIVER 2,,€4 80.00,,€8 6.40,€1 72.80,WFCH01/2023/03/1846-36,CH-2022-000100466,7612501606082,623443703064039992,,0.691,1.382,CALF TO:Calf,PLAIN,,,,,,,,,L1:77Bovine14Nylon09Polyurethane
599493,DRUSIL 24533,CALF PLAIN F002 01561 MID BRO3W4 N 50,9,,,F,IT,Shoes MENS,,SHOES DRIVER 2,,€4 80.00,,€8 6.40,€1 72.80,WFCH01/2023/03/1846-36,CH-2022-000100466,7612501606129,6234437026 4039992,,0.691,1.382,CALF TO:Calf,PLAIN,,,,,,,,,L1:77Bovine14Nylon09Polyurethane
599493,DRUSIL 24533,CALF PLAIN F002 01561 MID BRO3W4 N 50,9.5,,,F,IT,Shoes MENS,,SHOES DRIVER 1,,€4 80.00,,€8 6.40,€86.40,WFCH01/2023/03/1846-36,CH-2022-000100466,7612501606136,623443702564039992,,0.691,0.691,CALF TO:Calf,PLAIN,,,,,,,,,L1:77Bovine14Nylon09Polyurethane
600523,DORIS 75 24726,CALF PLAIN F056 79500 TAN 18 05,40,,,E,IT,Shoes LADIES,,SHOES BOOTIE 1,,€650.00,,€1 17.00,€1 17.00,WFCH01/2023/03/1846-37,CH-2022-000100468,7612501932617,623487200564039100,,0.750,0.750,CALF M1:100%Calf,PLAIN,,,,,,,,,LN:100%Goat
602669,JAWAN 24044,CALF PLAIN F008 0100 BLACK 51,41,,,F,IT,Shoes MENS,,SHOES SANDAL 1,,€4 90.00,,€8 8.20,€88.20,WFCH01/2023/03/1846-38,CH-2022-000100476,7612506348512,623806601164039992,,0.632,0.632,CALF TO:Calf,PLAIN,,,PLAIN,,,,,PELLE,L1:Calf
